"","email","vorname","nachname","landVorwahl","vorwahl","telNr","land","gebDat","straße","hnr","stiege","tnr","ort","plz","comb","pk","isDirty","errCol","errRule"
"1","pierre.guillou@snv.jussieu.fr","Seyit","Pühringer","43","699","8016","AUT","1997-1~&-1)3","Hanfpointstraße","100","","","Traun","4050","Hanfpointstraße 100 4050 Traun",1587,"True",";gebDat",";Add_Or_Replace_Character"
"2","katrina.bradley@intel.com","Jordan","Erler","43","697","72687","AUT","1994-03-02","Hauptstraße","46","","","Seyring","h2L0zq","Hauptstraße 46 2201 Seyring",2729,"True",";plz",";Add_Or_Replace_Character"
"3","?k???}?o???{@w3.org","Ralph","Lanner","43","678","5371","AUT","2024-07-25","Dölach","18","","","Dölach","9961 5371","Dölach 18 9961 Dölach",548,"True",";plz",";Include_other_column"
"4","be.mauclaire@libertysurf.fr","Kenan","Riedler","43","668","4287 4040","AUT","2003-08-13","Schablederweg","3","","","Linz","4040","Schablederweg 3 4040 Linz",1519,"True",";telNr",";Include_other_column"
"5","aun.txt@tux.w3.org","Mugni","Dietrich","43","517","q3D835m","AUT","2010-01-17","Remser Dorfstraße","5","","","St. Valentin","4300","Remser Dorfstraße 5 4300 St. Valentin",928,"True",";telNr",";Add_Or_Replace_Character"
"6","aa_card@yahoo.co.kr","Necati","Wohlmuth","43","$9!'","283252","AUT","1973-08-26","Kellerberg","4","","","Raggendorf","2215","Kellerberg 4 2215 Raggendorf",4868,"True",";vorwahl",";Add_Or_Replace_Character"
"7","jack_h_ostroff@groton.pfizer.com","Tarek","Oberndorfer","43","661","375 jack_h_ostroff@groton.pfizer.com","AUT","2008-04-16","Lobisserweg","33","","","Selpritsch","9220","Lobisserweg 33 9220 Selpritsch",1281,"True",";telNr",";Include_other_column"
"8","satel-7700266@satel.ru","Alihan","Strobl","43","672","11527","AUT","2013-03-24","Egon Schiele-Gasse","15 3400","","","Klosterneuburg","3400","Egon Schiele-Gasse 15 3400 Klosterneuburg",3985,"True",";hnr",";Include_other_column"
"9","x.txt@tux.w3.org","Burak","Rohrmoser","43","810","6&(81^","AUT","2007-01-28","Am Aichberg","41","","","Laakirchen","4662","Am Aichberg 41 4662 Laakirchen",303,"True",";telNr",";Add_Or_Replace_Character"
"10","sk@cs.cmu.edu","Edin","Obradovic","43","505","66","AUT","2024-01-17","Peter-Jordan-Straße","175","","","Wien","1180 175","Peter-Jordan-Straße 175 1180 Wien,Währing",238,"True",";plz",";Include_other_column"
"11","shawn@uiaccess.com","Dilshanpreet","Schmidt","43","657","277","AUT","1983-09-03","Hofmannstraße","4","","","Linz","4040","Hofmannstraße 4 4040 Linz",3856,"False","",""
"12","mseaborne@origoservices.com","Raul","Lenz","43","501","11711","aUT Lenz","2014-06-23","Holzleiten","107","","","Haag","3350","Holzleiten 107 3350 Haag",3090,"True",";land",";Include_other_column"
"13","dave.beckett@bris.ac.uk","Lio","Auer","43","672","56484","AUT","1950-01-16","Versbichl","14","","","Ve#&sb*ic_l","8900","Versbichl 14 8900 Versbichl",3753,"True",";ort",";Add_Or_Replace_Character"
"14","gobellot@hotmail.com","Nikolaj","Bogner","43","655","656","aUT 43","2017-03-14","Ferdinand Backovsky-Gasse","16","","","Kierling","3400","Ferdinand Backovsky-Gasse 16 3400 Kierling",2001,"True",";land",";Include_other_column"
"15","lust@sexinthecity.com","Jakov","schmidt","43","674","11038","AUT","2011-06-03","Johann-Zechner-Gasse","7","","","Hartberg","8230","Johann-Zechner-Gasse 7 8230 Hartberg",4281,"True",";nachname",";Start_With_Lowercase"
"16","graham_oliver@yahoo.com","Tuan","Mayr","43","810","1528","AUT","1977-04-18","Hauptstraße","19","","","mooskirchen 3836","8562","Hauptstraße 19 8562 Mooskirchen",3836,"True",";ort",";Include_other_column"
